ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1587482783850;234;214;216;210;226;245;222;229;243;240;245;249;251;250;263;260;0
1587482783886;230;208;208;202;227;246;223;228;243;239;244;249;251;251;264;261;35
1587482783922;230;207;207;201;227;247;224;230;244;239;243;248;249;250;264;262;35
1587482783957;232;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482783994;232;209;208;201;225;245;222;229;244;240;245;249;250;249;262;260;35
1587482784031;231;209;208;202;226;245;222;228;243;240;244;249;251;250;263;260;35
1587482784064;230;208;207;202;227;246;224;229;243;239;243;248;251;251;264;261;35
1587482784101;231;207;207;201;226;246;224;230;244;239;243;247;249;250;263;261;35
1587482784136;232;208;207;201;225;245;223;230;245;240;244;248;249;249;262;261;35
1587482784172;232;209;208;202;225;244;222;229;244;240;245;249;250;249;262;260;35
1587482784207;230;208;208;202;227;246;223;228;243;239;244;249;251;250;263;260;35
1587482784243;230;207;207;202;227;247;223;229;243;239;243;248;250;250;264;261;35
1587482784279;231;208;207;201;226;246;224;230;244;240;244;247;249;249;263;261;35
1587482784315;232;209;208;201;225;245;223;229;245;241;244;248;249;249;262;260;35
1587482784361;231;209;208;202;226;245;222;229;243;240;245;249;251;250;263;260;35
1587482784386;230;208;208;202;227;246;223;228;243;239;244;248;251;251;264;260;35
1587482784421;230;207;207;202;227;246;224;229;244;239;244;248;249;250;264;261;35
1587482784457;231;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482784493;232;209;208;201;225;244;222;229;244;240;245;248;250;249;262;260;35
1587482784529;231;209;208;202;226;245;222;228;243;239;244;249;251;250;263;260;35
1587482784564;230;208;208;202;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482784600;231;207;207;201;226;246;224;229;244;239;244;247;249;250;264;261;35
1587482784636;232;208;207;201;225;245;223;230;245;240;245;248;249;249;263;261;35
1587482784671;232;209;208;201;225;244;222;229;244;240;245;249;250;249;263;260;35
1587482784707;230;208;208;202;227;246;223;229;243;239;244;248;251;251;263;260;35
1587482784743;230;207;207;202;227;246;224;229;244;239;243;248;250;250;264;261;35
1587482784779;231;208;207;201;225;246;223;230;244;240;244;247;249;249;263;261;35
1587482784814;232;209;208;201;225;245;223;229;245;241;244;248;249;249;262;260;35
1587482784850;231;209;208;202;226;245;222;228;243;240;245;249;250;250;262;260;35
1587482784886;230;208;208;202;227;246;223;228;243;239;244;248;251;251;263;260;35
1587482784922;230;207;207;201;226;246;224;229;244;239;243;247;249;250;264;261;35
1587482784957;232;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482784993;232;209;208;201;225;244;222;229;244;241;245;249;250;249;263;260;35
1587482785028;231;209;208;202;226;245;222;228;243;239;244;249;251;250;263;260;35
1587482785066;230;208;207;202;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482785100;231;207;207;201;226;246;224;230;244;239;244;247;249;250;263;261;35
1587482785135;232;208;207;201;225;245;223;229;245;240;244;248;249;249;262;261;35
1587482785171;232;209;208;201;226;245;222;229;244;240;245;249;250;250;262;260;35
1587482785207;230;208;208;202;227;246;222;228;243;239;244;248;251;250;263;260;35
1587482785243;230;207;207;202;227;246;223;229;243;239;243;248;250;250;264;261;35
1587482785278;231;208;207;201;225;246;224;230;244;240;244;248;248;249;263;261;35
1587482785314;232;209;208;201;225;245;223;229;245;240;245;248;249;249;262;260;35
1587482785351;231;209;208;202;226;245;222;228;243;240;245;249;250;250;263;260;35
1587482785385;230;208;208;202;227;246;223;229;243;239;244;248;250;251;264;260;35
1587482785421;230;207;207;201;226;246;224;229;244;239;243;248;249;250;264;261;35
1587482785457;232;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482785493;232;209;208;201;225;245;222;229;244;240;245;248;250;249;262;260;35
1587482785528;231;209;208;202;226;245;223;228;243;239;244;249;251;250;263;260;35
1587482785564;230;208;207;202;227;246;223;229;243;238;243;248;250;250;264;261;35
1587482785600;231;207;207;201;226;246;224;230;244;239;244;247;249;250;263;261;35
1587482785636;232;208;207;201;225;245;223;229;245;240;244;248;249;249;262;261;35
1587482785671;232;209;208;202;225;244;222;229;244;240;245;249;250;250;262;260;35
1587482785706;230;208;208;202;227;246;223;228;243;239;244;248;251;251;263;260;35
1587482785742;230;207;207;202;227;246;223;229;243;239;243;248;250;250;264;261;35
1587482785778;231;208;207;201;225;246;223;230;244;240;244;248;248;249;263;261;35
1587482785814;232;209;208;201;225;245;223;229;244;241;245;248;249;249;262;260;35
1587482785850;231;209;208;202;226;245;222;228;243;240;245;249;250;250;263;260;35
1587482785885;230;208;208;202;227;246;223;228;243;239;244;248;251;251;264;261;35
1587482785921;230;207;207;201;226;246;224;229;244;239;243;247;249;250;264;261;35
1587482785957;231;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482785992;232;209;208;201;225;245;222;229;244;240;245;249;250;249;262;260;35
1587482786028;231;209;208;202;227;245;222;228;243;239;244;249;251;250;263;260;35
1587482786064;230;207;207;202;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482786100;231;207;207;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482786135;232;209;207;201;225;245;223;230;245;240;245;248;249;249;262;260;35
1587482786171;232;209;208;202;226;244;222;229;244;240;245;249;250;249;262;260;35
1587482786207;230;208;208;202;227;246;223;228;243;239;244;248;251;251;263;260;35
1587482786242;230;207;207;201;227;246;223;229;243;239;243;248;250;250;264;261;35
1587482786278;231;208;207;201;225;246;223;230;244;240;244;247;248;249;263;261;35
1587482786317;232;209;208;201;225;244;223;229;244;240;244;248;249;249;262;260;35
1587482786353;231;209;208;202;226;245;222;228;243;240;245;249;250;250;263;260;35
1587482786386;230;208;208;202;227;246;223;229;243;239;244;248;250;251;264;261;35
1587482786421;230;207;207;201;226;246;224;230;244;239;243;248;249;250;264;261;35
1587482786457;232;208;207;201;225;245;223;230;245;240;244;247;249;249;263;261;35
1587482786493;232;209;208;201;225;244;222;229;244;240;245;248;250;249;262;260;35
1587482786528;230;208;208;202;226;246;222;228;243;239;244;249;251;250;263;260;35
1587482786564;230;207;207;202;227;246;224;229;243;239;243;248;250;251;264;261;35
1587482786599;231;208;207;201;226;246;224;229;244;240;244;247;249;250;264;261;35
1587482786641;232;208;207;201;225;245;223;229;245;240;244;248;249;249;262;260;35
1587482786671;232;209;208;202;225;245;222;228;244;240;245;249;250;250;263;260;35
1587482786707;230;208;208;202;227;246;223;229;243;239;244;248;251;251;263;260;35
1587482786742;230;207;207;202;227;246;224;229;243;239;243;248;250;250;264;261;35
1587482786778;231;208;207;201;225;246;224;230;244;240;244;247;248;249;263;261;35
1587482786814;232;209;208;201;225;244;223;229;244;240;244;248;249;249;262;260;35
1587482786851;231;209;208;202;226;245;222;228;243;239;245;249;250;250;263;260;35
1587482786885;230;208;208;202;227;246;223;229;243;239;244;248;251;251;264;260;35
1587482786920;230;207;207;201;226;246;224;229;244;239;243;247;249;250;264;261;35
1587482786956;231;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482786992;232;209;208;201;225;244;222;229;244;240;245;248;250;249;262;260;35
1587482787027;230;209;208;202;226;245;222;228;243;239;244;249;251;250;263;260;35
1587482787063;230;207;207;202;227;246;223;229;243;239;244;248;250;250;264;261;35
1587482787099;231;207;207;201;226;246;224;230;244;239;244;247;249;250;263;261;35
1587482787135;232;209;207;201;225;245;223;229;245;240;244;248;249;249;263;261;35
1587482787171;231;209;208;201;225;245;222;228;244;240;245;248;250;249;262;260;35
1587482787206;230;208;208;202;227;246;223;229;242;239;244;248;251;251;263;260;35
1587482787242;230;207;207;202;227;246;223;229;243;239;243;248;250;250;264;261;35
1587482787277;231;208;207;201;225;245;224;230;245;240;244;248;248;249;263;261;35
