ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1587482982395;238;218;219;208;225;244;222;229;244;241;245;249;250;249;262;260;0
1587482982431;231;209;208;202;226;245;223;229;243;240;244;249;251;250;263;260;35
1587482982467;230;207;207;202;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482982502;230;207;206;200;226;246;224;230;244;240;243;247;249;250;263;261;35
1587482982538;232;208;207;200;225;245;223;230;245;240;244;248;249;249;262;260;35
1587482982574;232;209;208;201;225;244;222;229;244;240;245;249;250;249;262;260;35
1587482982609;230;208;208;202;227;245;223;229;243;239;244;248;251;251;263;260;35
1587482982645;230;207;207;201;227;246;224;229;243;239;243;248;250;251;264;261;35
1587482982681;231;207;206;200;225;246;224;230;245;240;244;247;249;249;263;261;35
1587482982717;232;209;207;200;225;244;223;230;245;241;245;248;249;249;262;260;35
1587482982753;231;209;208;202;226;245;222;229;243;240;245;249;251;250;263;260;35
1587482982788;230;208;207;202;227;246;223;229;243;239;244;248;251;251;264;261;35
1587482982824;230;207;206;201;226;246;224;230;244;239;243;247;250;250;264;261;35
1587482982859;231;208;207;200;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482982896;232;209;208;201;225;244;222;229;244;240;245;248;250;249;262;260;35
1587482982932;231;208;208;202;226;245;222;228;243;239;244;249;251;251;263;260;35
1587482982967;230;207;207;201;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482983002;230;207;206;201;226;246;224;230;244;239;243;247;249;250;263;261;35
1587482983038;232;208;207;200;225;244;223;230;245;241;244;248;249;249;262;260;35
1587482983074;231;209;208;201;225;244;222;229;244;240;245;249;250;249;262;259;35
1587482983109;230;208;208;202;227;246;223;228;243;239;244;248;251;251;263;260;35
1587482983146;230;207;207;201;226;246;224;229;243;239;243;248;250;250;264;261;35
1587482983181;231;208;206;200;225;245;223;230;245;240;243;247;249;249;263;261;35
1587482983216;232;209;207;201;225;244;222;229;245;241;245;248;250;249;262;260;35
1587482983253;231;209;208;201;226;245;222;228;243;240;245;249;251;250;262;260;35
1587482983288;230;207;207;202;227;246;223;229;243;239;244;248;251;251;264;261;35
1587482983324;230;207;206;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482983359;232;208;207;200;225;245;223;230;245;240;244;248;249;249;262;261;35
1587482983395;232;209;208;201;225;244;222;229;244;240;245;249;250;249;262;260;35
1587482983431;230;208;208;202;226;245;222;229;243;239;244;249;251;251;263;260;35
1587482983467;230;207;207;201;227;246;223;229;243;238;243;248;250;251;264;261;35
1587482983502;231;207;206;200;225;246;224;230;244;239;243;247;249;249;263;261;35
1587482983538;232;208;207;200;225;244;223;230;245;241;245;248;249;249;262;260;35
1587482983573;231;209;208;201;226;245;222;229;244;240;245;249;250;250;262;260;35
1587482983609;230;208;207;202;227;246;223;229;243;239;244;249;251;251;264;260;35
1587482983645;230;207;206;201;226;246;224;230;243;239;243;247;250;250;264;261;35
1587482983681;231;208;206;200;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482983717;232;209;208;201;225;244;222;229;245;240;245;249;249;249;262;260;35
1587482983752;231;209;208;201;226;245;222;229;243;240;244;249;251;250;263;260;35
1587482983788;230;207;207;201;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482983823;230;207;206;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482983859;231;208;207;200;225;245;223;230;245;240;244;248;249;249;262;261;35
1587482983895;232;209;208;201;225;244;222;229;244;240;245;248;250;249;262;260;35
1587482983931;230;208;208;202;227;245;222;229;243;239;244;249;251;251;263;260;35
1587482983966;230;207;207;201;227;246;224;229;243;239;243;248;250;251;264;261;35
1587482984003;231;207;206;200;225;245;224;230;244;240;243;247;249;249;263;261;35
1587482984038;232;208;207;200;224;244;223;230;245;240;245;248;249;249;262;260;35
1587482984073;231;209;208;201;226;244;222;229;243;240;245;249;250;250;263;260;35
1587482984109;230;208;208;202;227;246;223;229;243;239;244;248;251;251;264;260;35
1587482984145;230;207;206;201;226;246;224;230;244;239;243;247;250;250;264;261;35
1587482984180;231;208;207;200;225;245;223;230;245;240;244;247;249;249;263;261;35
1587482984216;232;209;208;201;225;244;222;229;244;241;245;249;250;249;262;260;35
1587482984252;231;209;208;201;226;245;222;229;243;240;245;249;251;250;263;260;35
1587482984288;230;207;207;201;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482984323;230;207;206;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482984359;232;208;207;200;225;245;223;230;245;241;244;248;249;249;262;260;35
1587482984395;232;209;208;201;225;244;222;229;244;240;245;249;250;249;262;260;35
1587482984430;230;208;208;202;227;246;223;229;243;239;244;249;251;251;263;260;35
1587482984466;230;207;207;201;227;246;224;230;243;239;243;248;250;250;264;261;35
1587482984502;231;207;206;200;225;245;224;230;245;240;244;247;249;249;263;261;35
1587482984538;232;209;207;200;224;244;223;230;244;241;245;248;249;249;262;260;35
1587482984573;231;209;208;202;226;244;222;229;244;240;245;249;251;250;262;260;35
1587482984609;230;208;207;202;227;246;223;229;243;239;244;248;251;251;264;260;35
1587482984645;230;207;206;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482984680;231;208;207;200;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482984716;232;209;208;201;225;244;222;229;244;240;245;249;250;249;262;260;35
1587482984752;230;208;208;201;226;245;222;228;243;239;244;249;251;250;263;260;35
1587482984787;230;207;207;201;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482984823;230;207;206;200;226;246;224;230;244;239;243;247;249;250;263;261;35
1587482984859;232;208;207;200;225;244;223;230;245;240;244;248;249;249;262;260;35
1587482984894;231;209;208;201;225;244;222;229;244;240;245;249;250;250;262;260;35
1587482984930;230;208;208;202;227;245;223;229;243;239;244;249;251;251;263;260;35
1587482984966;230;207;207;201;226;246;224;230;243;239;243;248;250;250;264;261;35
1587482985002;231;207;206;200;225;245;224;230;244;240;244;247;249;249;263;261;35
1587482985037;232;209;207;201;225;244;222;229;245;241;245;248;249;249;262;260;35
1587482985073;231;209;208;201;226;245;222;229;243;240;245;249;251;250;263;260;35
1587482985109;230;207;207;202;227;246;223;229;243;239;244;248;251;251;264;260;35
1587482985144;230;207;206;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482985180;231;208;207;200;225;245;223;230;245;240;244;247;249;249;263;261;35
1587482985216;232;209;208;201;225;244;222;229;244;240;245;249;250;250;262;260;35
1587482985252;230;208;208;202;227;245;222;229;243;239;244;249;251;251;263;260;35
1587482985287;230;207;207;201;227;246;224;229;243;238;243;248;250;251;264;261;35
1587482985323;231;207;206;200;226;246;224;230;244;240;243;247;249;250;263;261;35
1587482985359;232;208;207;200;225;244;223;230;245;240;244;248;249;249;262;260;35
1587482985394;231;209;208;201;225;244;222;229;244;240;245;249;250;250;262;260;35
1587482985431;230;208;208;202;227;246;223;229;243;239;244;249;251;251;264;260;35
1587482985467;230;207;206;201;227;246;224;230;243;239;243;248;250;250;264;261;35
1587482985501;231;208;206;200;225;245;224;230;245;240;244;247;249;249;263;261;35
1587482985537;232;209;207;201;225;244;222;229;244;241;245;248;249;249;262;260;35
1587482985573;231;208;208;201;226;245;222;229;243;240;244;249;251;250;262;260;35
1587482985609;230;207;207;202;227;246;223;229;243;239;243;248;251;251;264;261;35
1587482985644;230;207;206;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482985680;231;208;207;200;225;245;223;230;245;240;244;248;249;249;262;261;35
1587482985716;232;209;208;201;225;244;222;229;244;240;245;249;250;249;262;260;35
1587482985751;230;208;208;202;226;245;222;228;243;239;244;249;251;251;263;260;35
1587482985787;230;207;207;201;227;246;223;229;243;239;243;248;250;251;264;261;35
1587482985823;231;207;206;200;225;246;224;230;244;240;243;247;249;249;263;261;35
1587482985858;232;208;207;200;224;244;223;230;245;240;244;248;249;249;262;260;35
1587482985894;231;209;208;201;226;245;222;229;244;240;245;249;250;250;262;260;35
1587482985930;230;208;208;202;226;246;223;229;243;239;244;249;251;251;263;260;35
1587482985966;230;207;206;201;226;246;224;230;244;239;243;247;250;250;264;261;35
1587482986002;231;208;206;200;225;245;224;230;245;240;244;248;249;249;263;261;35
1587482986037;232;209;208;201;225;244;222;229;244;240;245;248;250;249;262;260;35
1587482986073;231;208;208;201;226;245;223;228;243;240;244;249;251;250;263;260;35
1587482986108;229;207;207;202;227;246;223;229;243;239;244;248;251;251;264;261;35
1587482986144;230;207;206;201;226;246;224;230;244;239;243;247;249;250;264;261;35
1587482986180;232;208;207;200;224;245;223;230;245;241;244;248;249;249;262;261;35
1587482986215;231;209;208;201;225;244;222;229;244;240;245;249;250;249;262;260;35
1587482986251;230;208;208;202;226;245;223;229;243;239;244;249;251;251;263;260;35
1587482986287;230;207;207;201;227;246;224;229;243;239;243;248;250;251;264;261;35
1587482986323;231;207;206;200;225;246;224;230;244;240;244;248;249;249;263;261;35
1587482986358;232;208;207;201;225;244;223;230;245;241;245;248;249;249;262;260;35
1587482986394;231;209;208;201;226;244;222;229;243;240;245;249;251;250;262;260;35
1587482986430;230;208;207;202;227;246;223;229;242;239;244;248;251;251;264;260;35
1587482986465;230;207;206;201;226;246;224;230;243;239;243;248;249;250;264;261;35
1587482986501;232;208;206;200;225;245;223;230;244;240;244;248;248;249;263;261;35
1587482986537;232;209;208;201;226;244;222;229;243;240;245;248;249;249;262;260;35
1587482986573;231;208;208;202;228;245;222;229;241;239;244;249;249;250;263;260;35
1587482986608;231;207;207;201;229;246;223;229;241;238;243;248;248;251;264;261;35
1587482986644;232;207;206;201;228;246;224;230;242;239;244;247;246;250;264;261;35
1587482986680;234;208;207;200;227;245;223;230;243;240;244;248;246;249;262;261;35
1587482986715;234;209;208;201;228;245;222;229;241;240;245;248;248;249;262;260;35
1587482986751;233;208;208;202;229;245;223;229;240;239;244;249;249;250;264;260;35
1587482986787;232;207;207;201;230;246;224;230;241;239;243;248;247;250;264;261;35
1587482986822;234;207;206;200;228;245;224;230;242;240;244;247;245;249;263;261;35
