ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1586701530664;233;231;250;258;222;249;244;255;214;226;248;270;202;230;250;262;0
1586701530700;229;224;243;250;209;246;241;252;207;222;243;264;202;230;250;263;35
1586701530735;231;225;243;248;207;244;241;253;208;223;243;265;202;229;249;262;35
1586701530771;233;227;244;250;206;243;239;252;208;224;244;266;201;229;249;261;35
1586701530807;231;227;245;252;208;244;239;250;207;223;244;266;202;230;249;262;35
1586701530842;229;225;244;252;209;246;241;251;206;222;243;265;202;230;250;262;35
1586701530878;230;224;242;250;208;245;242;253;207;222;243;264;202;230;249;263;35
1586701530913;232;226;243;249;206;243;240;253;208;224;244;265;201;229;249;262;35
1586701530949;232;228;245;251;207;243;239;251;208;224;245;266;202;229;249;261;35
1586701530985;230;226;245;252;209;244;239;250;207;222;244;266;202;230;250;262;35
1586701531022;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;262;35
1586701531057;231;224;242;249;207;245;242;253;208;223;243;264;201;229;250;262;35
1586701531092;233;227;244;249;206;243;240;252;208;224;244;265;201;229;249;262;35
1586701531128;232;227;246;251;208;243;238;250;207;223;245;266;202;230;249;261;35
1586701531164;229;225;245;252;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701531199;230;224;242;250;208;245;242;252;207;222;243;264;202;230;250;263;35
1586701531235;232;225;243;249;206;244;241;253;208;223;244;265;201;229;250;262;35
1586701531271;232;227;245;250;206;243;239;251;208;223;244;266;202;229;249;262;35
1586701531306;231;227;245;252;208;244;239;250;207;222;244;266;203;230;249;262;35
1586701531342;229;225;244;252;209;246;241;251;207;222;243;265;202;230;250;262;35
1586701531378;230;224;242;249;208;245;241;253;208;222;243;264;202;230;249;263;35
1586701531414;232;226;243;249;206;243;240;253;208;223;244;265;201;229;249;262;35
1586701531449;232;227;245;251;207;243;239;251;208;223;245;266;202;229;249;262;35
1586701531485;230;226;245;252;209;244;240;250;206;222;244;266;202;230;250;262;35
1586701531520;229;224;243;251;209;245;241;252;207;222;243;265;202;230;250;262;35
1586701531556;231;225;242;249;207;244;241;253;208;223;244;265;201;229;250;262;35
1586701531592;233;227;244;250;206;243;239;252;208;224;244;265;201;229;249;262;35
1586701531628;231;227;246;252;208;243;239;250;207;223;244;266;202;229;249;262;35
1586701531663;229;225;244;252;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701531699;230;224;242;250;208;245;242;253;207;222;243;264;202;230;250;263;35
1586701531735;232;225;243;249;206;244;241;253;208;223;244;265;201;229;249;262;35
1586701531771;232;227;245;250;206;243;239;251;208;224;245;266;202;229;249;262;35
1586701531806;231;227;245;252;208;244;239;250;207;222;244;266;202;230;249;262;35
1586701531842;229;224;244;251;209;246;241;251;207;222;243;265;202;230;250;262;35
1586701531877;230;224;242;249;207;245;241;253;208;223;243;264;201;230;250;263;35
1586701531913;232;226;243;249;206;243;240;252;208;224;244;265;201;229;249;262;35
1586701531949;232;227;246;251;207;243;239;250;207;223;245;266;202;230;249;261;35
1586701531985;230;226;245;252;209;245;240;250;206;222;244;266;202;230;250;262;35
1586701532020;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;262;35
1586701532056;231;225;242;249;207;244;241;253;208;223;244;265;201;229;250;263;35
1586701532092;233;227;244;250;206;243;239;252;208;224;245;266;202;229;249;262;35
1586701532128;231;227;245;252;208;243;239;250;207;223;245;266;202;230;249;262;35
1586701532163;229;225;244;252;209;245;240;251;207;222;243;265;202;230;250;262;35
1586701532199;230;224;242;250;208;245;242;253;208;222;243;264;201;230;250;263;35
1586701532234;232;226;243;249;206;243;240;253;208;224;244;265;201;229;249;262;35
1586701532270;232;228;245;250;207;243;239;251;208;223;245;266;202;229;249;262;35
1586701532306;230;226;245;252;208;244;239;250;207;222;244;266;202;230;249;262;35
1586701532342;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;262;35
1586701532378;231;224;242;249;207;245;241;253;208;222;243;264;202;229;250;262;35
1586701532413;232;226;244;249;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701532449;232;227;246;251;208;243;239;250;207;223;245;266;202;229;249;262;35
1586701532484;230;225;245;252;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701532520;230;224;242;250;208;245;242;253;207;222;243;265;202;230;250;263;35
1586701532556;231;225;243;249;206;244;241;253;208;223;244;265;201;229;249;262;35
1586701532592;232;227;244;250;206;242;239;251;208;224;245;266;202;229;249;262;35
1586701532627;231;227;245;252;208;244;239;250;207;223;244;266;202;230;249;262;35
1586701532663;229;225;244;252;209;246;240;251;207;222;243;265;202;229;250;262;35
1586701532699;230;224;242;250;208;245;242;253;207;222;243;264;202;229;249;263;35
1586701532735;232;226;243;249;206;243;240;253;208;224;244;265;201;229;249;262;35
1586701532770;232;227;245;251;207;243;239;251;208;223;245;266;202;229;249;262;35
1586701532806;230;226;245;252;209;244;240;250;206;222;244;266;202;230;250;262;35
1586701532841;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;262;35
1586701532877;231;224;242;249;207;245;241;253;208;223;244;264;202;229;249;263;35
1586701532913;232;227;244;249;206;242;239;252;208;224;244;265;201;229;249;262;35
1586701532948;231;227;246;251;208;243;239;250;207;223;245;266;202;230;249;262;35
1586701532985;229;225;245;252;209;245;240;251;206;222;244;265;202;230;250;262;35
1586701533020;230;224;242;250;208;245;242;253;207;222;243;264;202;229;250;262;35
1586701533056;232;225;243;249;206;244;241;253;208;223;244;265;202;229;249;262;35
1586701533092;232;227;245;250;207;242;239;251;208;224;245;266;202;229;249;261;35
1586701533127;231;227;245;252;208;244;239;250;207;222;244;266;202;230;249;262;35
1586701533163;229;224;244;251;209;246;241;251;207;222;243;265;202;230;250;262;35
1586701533199;230;224;242;249;207;245;242;253;208;223;243;264;202;230;250;263;35
1586701533234;232;226;243;249;206;243;240;252;208;224;244;265;201;229;249;262;35
1586701533270;232;227;245;251;207;243;239;250;207;223;245;266;202;229;249;261;35
1586701533306;230;226;245;252;209;245;240;250;206;222;244;266;202;230;250;262;35
1586701533341;229;224;243;251;208;245;242;252;207;222;243;265;202;230;250;262;35
1586701533377;231;225;242;249;207;244;241;253;209;223;243;264;201;229;250;262;35
