ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1586206853950;232;226;244;249;205;242;240;253;208;224;244;265;201;229;249;262;35
1586206853986;232;228;245;251;207;242;238;250;207;223;245;266;202;230;249;261;35
1586206854022;230;226;245;252;209;245;239;250;206;222;244;266;202;230;250;261;35
1586206854057;229;224;243;251;209;246;242;252;207;222;243;265;202;230;251;262;35
1586206854093;231;225;243;249;206;244;242;253;208;223;243;264;201;229;250;262;35
1586206854128;232;227;244;250;206;242;239;252;208;224;245;266;201;229;249;262;35
1586206854164;231;227;246;252;208;243;239;250;207;223;244;266;202;230;249;261;35
1586206854200;229;225;245;252;209;246;240;250;206;222;243;266;202;230;250;262;35
1586206854235;230;224;243;250;208;246;242;253;207;222;243;264;201;230;250;263;35
1586206854271;232;226;243;249;206;243;241;253;208;224;244;265;201;229;249;262;35
1586206854307;232;228;245;251;206;242;238;251;208;224;245;266;202;229;249;261;35
1586206854343;230;226;246;252;209;244;239;249;206;223;244;266;203;230;250;262;35
1586206854378;229;224;244;252;209;246;241;251;207;222;243;265;202;230;250;263;35
1586206854414;230;225;242;250;207;245;242;253;208;223;242;264;201;229;250;263;35
1586206854450;232;226;244;250;205;242;240;253;208;224;244;265;201;229;249;262;35
1586206854485;232;228;246;252;207;243;239;250;207;224;244;266;202;230;249;261;35
1586206854521;229;226;245;252;209;245;240;250;206;222;243;266;202;230;250;262;35
1586206854557;229;224;243;251;209;246;242;252;207;222;243;264;202;230;250;262;35
1586206854592;231;225;243;249;206;244;242;253;208;223;243;265;201;229;249;262;35
1586206854628;232;227;245;250;206;242;239;251;208;224;245;266;201;229;249;261;35
1586206854664;231;227;246;252;208;243;239;250;207;223;244;266;202;230;250;262;35
1586206854700;229;225;244;252;209;246;241;251;206;222;243;265;202;230;251;262;35
1586206854736;230;224;243;250;208;246;242;253;207;223;243;264;201;230;250;262;35
1586206854771;232;226;243;250;206;243;240;253;208;224;244;265;201;229;249;262;35
1586206854807;232;228;245;251;206;242;238;250;208;224;245;266;202;230;249;261;35
1586206854843;230;226;245;252;209;244;239;250;207;222;244;266;203;230;250;262;35
1586206854878;229;224;243;251;209;246;242;252;207;222;243;265;202;230;250;262;35
1586206854914;231;225;243;249;206;245;242;253;208;223;243;264;201;229;250;262;35
1586206854950;232;227;244;250;205;242;239;252;208;224;244;265;202;229;249;262;35
1586206854985;231;227;246;252;208;243;238;250;207;223;244;266;202;230;249;261;35
1586206855021;229;225;245;252;210;245;240;250;206;222;243;266;202;230;250;262;35
1586206855057;229;224;243;250;209;246;242;253;207;222;243;264;201;230;250;263;35
1586206855093;231;225;243;249;206;243;241;253;208;224;244;265;201;229;249;262;35
1586206855128;232;227;245;251;206;242;238;251;208;224;245;266;202;229;249;261;35
1586206855164;230;227;246;253;209;244;239;249;206;222;244;266;202;230;249;261;35
1586206855200;229;224;244;252;209;246;241;251;206;222;242;265;202;230;250;263;35
1586206855235;230;224;242;250;207;245;242;253;208;223;243;264;201;229;250;263;35
1586206855271;232;226;244;250;205;242;240;253;208;224;244;265;201;229;249;262;35
1586206855307;232;227;246;252;207;242;238;250;207;223;245;266;202;229;249;261;35
1586206855343;230;226;245;252;209;245;240;250;206;222;243;266;202;230;250;262;35
1586206855378;229;224;243;251;209;246;242;252;207;222;243;265;202;230;251;263;35
1586206855414;231;225;243;249;206;244;242;253;208;223;243;265;201;229;249;262;35
1586206855450;232;227;245;250;206;242;239;252;208;224;244;266;201;229;249;262;35
1586206855486;231;227;246;252;208;243;238;249;207;223;244;266;202;230;249;261;35
1586206855521;229;225;245;252;209;246;241;251;206;222;243;265;202;230;251;262;35
